City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Pontian Kecil,MY,80.01,few clouds,1.48,103.39,SUNFLOWER EXPRESS HOTEL
276,Sola,VU,78.21,clear sky,-13.88,167.55,Leumerus Bungalows
278,Sorong,ID,77.88,overcast clouds,-0.88,131.25,The Waigo Hotel
283,Ban Nahin,LA,76.23,overcast clouds,18.24,104.21,
285,Matara,LK,78.82,overcast clouds,5.95,80.54,Amaloh Boutique Resort
289,Nuevo Progreso,MX,89.01,clear sky,23.17,-97.95,Balneario Rio el Paraiso
290,Cabatuan,PH,77.18,overcast clouds,10.88,122.49,Tobias Hime
291,Praia,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
294,Eyl,SO,79.0,light rain,7.98,49.82,Amiin Hotel
295,Ewa Beach,US,82.4,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
296,Kloulklubed,PW,84.42,few clouds,7.04,134.26,Storyboard Beach Resort
301,Nizwa,OM,82.72,clear sky,22.93,57.53,Orient Apartments
305,Pizarro,CO,76.37,moderate rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
311,Tual,ID,80.38,moderate rain,-5.67,132.75,Grand Vilia Hotel
313,Touros,BR,82.4,overcast clouds,-5.2,-35.46,INN NEW HORIZON
314,Victoria,HK,82.0,overcast clouds,22.29,114.16,Mini Hotel Central
315,Gerash,IR,78.8,clear sky,27.67,54.14,Chelpasin
316,Cayenne,GF,86.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
318,Paredon,MX,86.11,overcast clouds,16.03,-93.87,Hotel Principal Paredon
322,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
326,Alice Springs,AU,80.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
327,Nsanje,MW,76.57,scattered clouds,-16.92,35.26,Nsanje Discovery Lodge
329,Erzin,TR,78.01,clear sky,36.96,36.2,Artemis Otel
330,Caraballeda,VE,82.99,overcast clouds,10.61,-66.85,Hotel 15 Letras
332,Meulaboh,ID,77.09,overcast clouds,4.14,96.13,Kost Pria
333,Aswan,EG,89.26,clear sky,24.09,32.91,Nuba Nile
334,Najran,SA,75.2,clear sky,17.49,44.13,محمد هادي ال فطيح
337,Muli,MV,80.31,moderate rain,2.92,73.57,Medhufushi Island Resort
342,Intipuca,SV,89.6,few clouds,13.2,-88.05,hotel familiar Fco
345,Katherine,AU,78.8,overcast clouds,-14.47,132.27,Pine Tree Motel
350,Laguna,US,86.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
355,Mormugao,IN,78.8,heavy intensity rain,15.4,73.8,Coconut Creek Resort
369,Nioro,GM,82.42,light rain,13.35,-15.75,
370,Abakaliki,NG,77.76,light rain,6.32,8.12,K Suites
376,Vanimo,PG,77.4,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
378,Yulin,CN,75.29,light rain,22.63,110.15,罗弟天海大厦
385,Bulungu,CD,75.4,moderate rain,-4.55,18.6,
386,Buala,SB,80.19,clear sky,-8.14,159.59,Maringe Lagoon Lodge
387,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
388,Evans,US,75.0,scattered clouds,33.53,-82.13,Select Corporate Housing - Augusta GA Furnished Apartments
392,Ha Giang,VN,77.07,overcast clouds,22.83,104.98,Truong Xuan Ecolodge
399,Les Cayes,HT,83.44,scattered clouds,18.2,-73.75,Villa Orphee
408,Dwarka,IN,81.32,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
409,Abu Kamal,SY,75.97,clear sky,34.45,40.92,محطة التلفاز
413,Cartagena,CO,84.2,scattered clouds,10.4,-75.51,Allure Chocolat
416,Saint-Georges,GD,86.0,scattered clouds,12.06,-61.75,Siesta Hotel
423,Bodden Town,KY,86.0,scattered clouds,19.28,-81.25,Will T Place
425,Liku,ID,75.16,heavy intensity rain,-0.73,119.89,Agoes Liverpool
428,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,East Arnhem Real Estate
429,Palauig,PH,80.85,overcast clouds,15.44,119.9,Myhousebythesea
431,Pacific Grove,US,80.6,haze,36.62,-121.92,Lovers Point Inn
